index,time,low,high,open,close,volume,date
47,1729209600,67329.95,67415.85,67399.86,67372.92,12.87506857,2024-10-18 00:00:00
46,1729209900,67336.09,67399.35,67369.31,67339.56,19.18507793,2024-10-18 00:05:00
45,1729210200,67301.52,67348.37,67344.79,67326.02,8.83127338,2024-10-18 00:10:00
44,1729210500,67260.0,67330.13,67328.3,67277.03,15.47254567,2024-10-18 00:15:00
43,1729210800,67222.01,67449.4,67277.03,67393.72,23.31896016,2024-10-18 00:20:00
42,1729211100,67299.13,67428.07,67393.75,67346.46,31.10615568,2024-10-18 00:25:00
41,1729211400,67208.4,67346.46,67346.46,67258.22,22.82983416,2024-10-18 00:30:00
40,1729211700,67218.45,67323.59,67261.1,67300.32,13.43822613,2024-10-18 00:35:00
39,1729212000,67210.37,67309.44,67299.76,67242.48,5.22805366,2024-10-18 00:40:00
38,1729212300,67162.3,67281.49,67242.47,67175.42,12.30763829,2024-10-18 00:45:00
37,1729212600,67149.24,67228.68,67176.35,67166.74,12.57790132,2024-10-18 00:50:00
36,1729212900,67159.38,67218.34,67166.75,67189.33,12.87245537,2024-10-18 00:55:00
35,1729213200,67169.25,67324.99,67188.07,67320.16,17.16126393,2024-10-18 01:00:00
34,1729213500,67308.98,67579.03,67317.2,67520.05,69.18492061,2024-10-18 01:05:00
33,1729213800,67435.31,67581.93,67520.06,67456.5,20.15274968,2024-10-18 01:10:00
32,1729214100,67453.51,67584.02,67453.52,67539.81,23.98953515,2024-10-18 01:15:00
31,1729214400,67504.3,67584.31,67539.82,67531.7,12.9916135,2024-10-18 01:20:00
30,1729214700,67518.18,67696.85,67539.01,67684.29,50.25623348,2024-10-18 01:25:00
29,1729215000,67526.33,67692.92,67684.55,67602.17,21.77148442,2024-10-18 01:30:00
28,1729215300,67558.0,67643.23,67602.16,67620.3,17.80783481,2024-10-18 01:35:00
27,1729215600,67616.53,67765.32,67617.68,67757.64,54.98241839,2024-10-18 01:40:00
26,1729215900,67738.76,67936.32,67761.78,67930.03,90.37351434,2024-10-18 01:45:00
25,1729216200,67844.54,67959.54,67929.98,67959.5,34.49028588,2024-10-18 01:50:00
24,1729216500,67933.6,68222.71,67959.49,68058.53,110.30824057,2024-10-18 01:55:00
23,1729216800,67867.42,68111.0,68058.53,67914.41,67.88199337,2024-10-18 02:00:00
22,1729217100,67804.88,67932.07,67924.09,67850.0,25.6129414,2024-10-18 02:05:00
21,1729217400,67816.53,67942.39,67850.0,67841.63,20.02995967,2024-10-18 02:10:00
20,1729217700,67771.64,67970.15,67840.89,67868.1,28.47738935,2024-10-18 02:15:00
19,1729218000,67845.82,67934.32,67862.7,67907.59,19.89205117,2024-10-18 02:20:00
18,1729218300,67835.02,67925.54,67903.32,67891.23,13.56618948,2024-10-18 02:25:00
17,1729218600,67889.35,68069.19,67896.73,67964.01,40.52730471,2024-10-18 02:30:00
16,1729218900,67933.05,67999.32,67964.0,67974.74,26.98273344,2024-10-18 02:35:00
15,1729219200,67891.8,68015.58,67974.73,67922.18,17.83606901,2024-10-18 02:40:00
14,1729219500,67903.79,68020.07,67915.65,67966.0,26.3792243,2024-10-18 02:45:00
13,1729219800,67963.71,68029.99,67965.85,68020.66,18.57207762,2024-10-18 02:50:00
12,1729220100,68009.08,68091.1,68017.38,68081.88,44.58812759,2024-10-18 02:55:00
11,1729220400,68016.38,68090.0,68081.88,68090.0,26.03393666,2024-10-18 03:00:00
10,1729220700,68018.82,68089.99,68089.99,68050.06,32.80853274,2024-10-18 03:05:00
9,1729221000,67900.0,68055.76,68050.06,67909.94,30.62718244,2024-10-18 03:10:00
8,1729221300,67836.51,67975.01,67910.1,67898.95,28.84903208,2024-10-18 03:15:00
7,1729221600,67846.88,67923.22,67898.95,67878.49,25.66933709,2024-10-18 03:20:00
6,1729221900,67857.51,67912.76,67880.88,67898.33,16.67299974,2024-10-18 03:25:00
5,1729222200,67872.58,67914.18,67898.33,67884.09,18.08443914,2024-10-18 03:30:00
4,1729222500,67789.63,67883.09,67883.09,67795.21,23.79072511,2024-10-18 03:35:00
3,1729222800,67721.41,67798.8,67795.21,67721.75,25.03902,2024-10-18 03:40:00
2,1729223100,67721.75,67751.17,67721.75,67737.66,12.69699106,2024-10-18 03:45:00
1,1729223400,67600.0,67747.3,67737.66,67600.0,38.00496967,2024-10-18 03:50:00
0,1729223700,67490.58,67634.66,67600.0,67529.11,60.32278815,2024-10-18 03:55:00
47,1729224000,67515.06,67594.24,67529.19,67548.26,32.45728699,2024-10-18 04:00:00
46,1729224300,67541.93,67691.32,67541.96,67673.83,7.61385209,2024-10-18 04:05:00
45,1729224600,67601.2,67675.06,67673.39,67646.11,9.44963728,2024-10-18 04:10:00
44,1729224900,67625.83,67667.93,67649.89,67657.34,5.68884383,2024-10-18 04:15:00
43,1729225200,67657.4,67793.08,67657.4,67774.71,9.76515869,2024-10-18 04:20:00
42,1729225500,67717.73,67800.0,67774.72,67787.6,29.23141162,2024-10-18 04:25:00
41,1729225800,67768.41,67842.93,67787.6,67784.99,13.0129155,2024-10-18 04:30:00
40,1729226100,67746.46,67821.15,67783.94,67805.9,8.55209574,2024-10-18 04:35:00
39,1729226400,67760.46,67810.69,67805.9,67803.92,6.77995813,2024-10-18 04:40:00
38,1729226700,67746.42,67813.66,67803.9,67749.48,9.2734116,2024-10-18 04:45:00
37,1729227000,67717.65,67771.06,67749.55,67739.68,14.37319421,2024-10-18 04:50:00
36,1729227300,67666.75,67766.93,67739.67,67711.91,9.37500069,2024-10-18 04:55:00
35,1729227600,67659.63,67751.79,67715.58,67694.86,7.10175542,2024-10-18 05:00:00
34,1729227900,67604.13,67716.43,67694.86,67658.27,9.3907015,2024-10-18 05:05:00
33,1729228200,67653.36,67806.45,67658.27,67798.85,6.34629605,2024-10-18 05:10:00
32,1729228500,67755.28,67826.01,67798.85,67773.5,9.44842119,2024-10-18 05:15:00
31,1729228800,67740.49,67805.1,67773.5,67755.07,9.05894575,2024-10-18 05:20:00
30,1729229100,67735.79,67819.64,67755.07,67789.91,6.26722059,2024-10-18 05:25:00
29,1729229400,67779.39,67856.55,67786.67,67846.01,10.39330101,2024-10-18 05:30:00
28,1729229700,67838.06,67883.77,67846.03,67840.62,10.83705445,2024-10-18 05:35:00
27,1729230000,67810.94,67863.75,67840.63,67811.93,4.50833717,2024-10-18 05:40:00
26,1729230300,67790.3,67869.14,67811.93,67854.4,5.5150895,2024-10-18 05:45:00
