index,time,low,high,open,close,volume,date
47,1728086400,62081.98,62199.99,62090.7,62190.92,18.45842199,2024-10-05 00:00:00
46,1728086700,62134.52,62190.91,62190.91,62171.42,18.94340582,2024-10-05 00:05:00
45,1728087000,62071.25,62182.3,62171.43,62081.88,13.73064727,2024-10-05 00:10:00
44,1728087300,62073.55,62132.33,62081.88,62104.06,4.46299801,2024-10-05 00:15:00
43,1728087600,62044.25,62104.06,62104.06,62051.23,5.13359719,2024-10-05 00:20:00
42,1728087900,62051.22,62102.31,62051.23,62098.01,6.21220824,2024-10-05 00:25:00
41,1728088200,62098.58,62142.22,62098.58,62132.84,4.40225386,2024-10-05 00:30:00
40,1728088500,62086.14,62136.44,62128.87,62114.43,13.90439718,2024-10-05 00:35:00
39,1728088800,62111.8,62180.35,62114.43,62126.91,9.03440882,2024-10-05 00:40:00
38,1728089100,62105.33,62156.48,62131.58,62110.28,5.08942602,2024-10-05 00:45:00
37,1728089400,62106.37,62142.52,62110.17,62114.25,6.05209492,2024-10-05 00:50:00
36,1728089700,62105.46,62174.11,62110.3,62168.61,10.81604935,2024-10-05 00:55:00
35,1728090000,62039.74,62178.0,62168.6,62084.32,16.66711292,2024-10-05 01:00:00
34,1728090300,62078.63,62136.43,62084.32,62115.97,9.86823148,2024-10-05 01:05:00
33,1728090600,62114.37,62200.0,62115.97,62133.83,10.51698445,2024-10-05 01:10:00
32,1728090900,62044.06,62149.18,62133.83,62056.65,7.8014963,2024-10-05 01:15:00
31,1728091200,62030.79,62068.74,62056.63,62068.38,12.78642672,2024-10-05 01:20:00
30,1728091500,61973.58,62068.38,62068.38,62005.01,11.33072828,2024-10-05 01:25:00
29,1728091800,61979.78,62024.42,62005.01,61994.83,6.37261051,2024-10-05 01:30:00
28,1728092100,61994.37,62059.58,61997.21,62059.43,5.52278901,2024-10-05 01:35:00
27,1728092400,62033.48,62059.41,62059.41,62056.76,5.86235086,2024-10-05 01:40:00
26,1728092700,62047.58,62088.76,62053.91,62049.55,4.32895925,2024-10-05 01:45:00
25,1728093000,62016.14,62068.04,62049.53,62034.8,3.52818674,2024-10-05 01:50:00
24,1728093300,62027.64,62071.3,62034.8,62065.11,5.15847076,2024-10-05 01:55:00
23,1728093600,62009.08,62076.89,62065.0,62044.29,2.77365499,2024-10-05 02:00:00
22,1728093900,61992.57,62046.87,62044.32,61999.9,5.44185473,2024-10-05 02:05:00
21,1728094200,61977.54,62024.91,61995.16,61989.19,6.04974186,2024-10-05 02:10:00
20,1728094500,61989.18,62055.11,61989.18,62055.1,4.86831824,2024-10-05 02:15:00
19,1728094800,62005.9,62061.32,62055.11,62037.3,11.68294512,2024-10-05 02:20:00
18,1728095100,62015.0,62046.27,62039.97,62023.62,4.76856049,2024-10-05 02:25:00
17,1728095400,62005.18,62031.27,62023.62,62009.45,3.27414172,2024-10-05 02:30:00
16,1728095700,61999.0,62019.25,62009.01,61999.0,2.71526018,2024-10-05 02:35:00
15,1728096000,61966.12,62003.28,61999.01,61966.13,8.11936992,2024-10-05 02:40:00
14,1728096300,61881.01,61989.53,61966.13,61889.12,11.31392746,2024-10-05 02:45:00
13,1728096600,61834.8,61903.3,61887.95,61854.33,15.65090838,2024-10-05 02:50:00
12,1728096900,61784.0,61854.32,61854.32,61808.68,14.54321756,2024-10-05 02:55:00
11,1728097200,61686.34,61811.99,61808.66,61788.67,32.15790646,2024-10-05 03:00:00
10,1728097500,61759.61,61850.25,61788.67,61814.93,9.92424285,2024-10-05 03:05:00
9,1728097800,61795.32,61865.83,61814.92,61861.55,8.17377827,2024-10-05 03:10:00
8,1728098100,61819.68,61924.28,61859.55,61924.28,9.52348945,2024-10-05 03:15:00
7,1728098400,61879.89,61945.02,61924.28,61930.59,8.71820494,2024-10-05 03:20:00
6,1728098700,61893.94,61944.68,61929.24,61943.53,5.97489902,2024-10-05 03:25:00
5,1728099000,61887.45,61965.01,61943.53,61901.15,7.5165736,2024-10-05 03:30:00
4,1728099300,61884.41,61938.53,61900.4,61919.02,7.46954198,2024-10-05 03:35:00
3,1728099600,61913.17,61948.68,61917.15,61938.45,3.10583734,2024-10-05 03:40:00
2,1728099900,61881.67,61933.6,61931.18,61895.12,2.15819316,2024-10-05 03:45:00
1,1728100200,61895.11,61951.88,61895.12,61916.04,2.10317429,2024-10-05 03:50:00
0,1728100500,61842.94,61919.63,61916.04,61859.66,5.19832421,2024-10-05 03:55:00
47,1728100800,61854.0,61902.06,61859.67,61854.01,4.49408563,2024-10-05 04:00:00
46,1728101100,61839.29,61862.05,61854.01,61853.48,3.25943022,2024-10-05 04:05:00
45,1728101400,61814.63,61853.3,61853.3,61816.95,2.22696754,2024-10-05 04:10:00
44,1728101700,61813.93,61850.0,61815.09,61836.81,6.62834719,2024-10-05 04:15:00
43,1728102000,61836.8,61910.34,61836.81,61900.79,3.89090089,2024-10-05 04:20:00
42,1728102300,61900.79,61952.61,61900.79,61944.59,4.39278573,2024-10-05 04:25:00
41,1728102600,61910.47,61972.02,61944.59,61955.74,6.61854308,2024-10-05 04:30:00
40,1728102900,61945.91,61993.5,61954.91,61993.49,6.81980576,2024-10-05 04:35:00
39,1728103200,61983.87,62011.71,61993.5,61995.58,6.66588744,2024-10-05 04:40:00
38,1728103500,61952.67,62016.0,61995.57,61970.04,5.42145464,2024-10-05 04:45:00
37,1728103800,61942.75,61971.72,61970.05,61949.7,5.54735074,2024-10-05 04:50:00
36,1728104100,61926.09,61952.31,61950.57,61941.93,3.00912164,2024-10-05 04:55:00
35,1728104400,61934.62,61973.68,61938.71,61955.76,2.43134869,2024-10-05 05:00:00
34,1728104700,61944.58,62042.9,61955.76,62037.5,25.77449649,2024-10-05 05:05:00
33,1728105000,62034.39,62149.23,62037.5,62077.82,8.91574653,2024-10-05 05:10:00
32,1728105300,62065.27,62112.08,62077.82,62097.95,5.31883043,2024-10-05 05:15:00
31,1728105600,62058.01,62125.0,62097.94,62061.97,7.02685784,2024-10-05 05:20:00
30,1728105900,62055.0,62072.1,62061.97,62062.81,2.21166708,2024-10-05 05:25:00
29,1728106200,62058.77,62104.39,62062.81,62096.18,4.21642571,2024-10-05 05:30:00
28,1728106500,62066.2,62122.13,62096.18,62078.67,2.492694,2024-10-05 05:35:00
27,1728106800,62062.08,62108.56,62078.67,62081.28,2.61834905,2024-10-05 05:40:00
26,1728107100,62083.62,62136.4,62083.63,62117.97,2.27716082,2024-10-05 05:45:00
25,1728107400,62100.0,62154.84,62117.98,62143.57,2.66621576,2024-10-05 05:50:00
24,1728107700,62118.39,62142.98,62141.21,62138.07,1.30202174,2024-10-05 05:55:00
23,1728108000,62087.13,62139.29,62138.06,62087.16,1.66599013,2024-10-05 06:00:00
22,1728108300,62067.33,62100.32,62088.33,62071.25,2.76256257,2024-10-05 06:05:00
21,1728108600,62059.35,62087.66,62071.26,62068.76,1.88771691,2024-10-05 06:10:00
20,1728108900,62066.87,62114.97,62066.87,62100.43,2.10319904,2024-10-05 06:15:00
19,1728109200,62089.87,62120.61,62100.43,62098.04,1.75707262,2024-10-05 06:20:00
18,1728109500,62098.02,62143.8,62098.02,62126.68,2.25560717,2024-10-05 06:25:00
17,1728109800,62108.65,62127.66,62126.68,62126.78,1.65276071,2024-10-05 06:30:00
16,1728110100,62126.77,62203.07,62126.77,62199.99,7.25725409,2024-10-05 06:35:00
15,1728110400,62180.13,62204.33,62199.99,62193.67,2.09341378,2024-10-05 06:40:00
14,1728110700,62187.18,62250.14,62193.67,62191.69,4.55340182,2024-10-05 06:45:00
13,1728111000,62159.21,62231.7,62191.68,62230.62,1.85963171,2024-10-05 06:50:00
12,1728111300,62203.99,62239.08,62231.0,62221.2,1.73568596,2024-10-05 06:55:00
11,1728111600,62209.59,62267.83,62221.19,62210.29,3.34797437,2024-10-05 07:00:00
10,1728111900,62175.84,62221.5,62209.58,62179.56,3.27689298,2024-10-05 07:05:00
9,1728112200,62161.06,62179.56,62179.55,62161.06,1.97819303,2024-10-05 07:10:00
8,1728112500,62158.98,62234.89,62161.06,62227.07,4.07913888,2024-10-05 07:15:00
7,1728112800,62156.77,62229.21,62229.21,62166.45,3.28303987,2024-10-05 07:20:00
6,1728113100,62133.6,62168.98,62166.81,62136.98,2.54774227,2024-10-05 07:25:00
5,1728113400,62133.59,62150.72,62136.98,62144.05,3.35072734,2024-10-05 07:30:00
4,1728113700,62140.67,62176.09,62144.05,62149.84,1.71130893,2024-10-05 07:35:00
3,1728114000,62108.82,62159.51,62149.84,62116.96,6.23052351,2024-10-05 07:40:00
2,1728114300,62082.84,62119.81,62118.01,62086.38,8.23100801,2024-10-05 07:45:00
1,1728114600,62076.29,62098.99,62086.37,62090.47,4.7460234,2024-10-05 07:50:00
0,1728114900,62067.87,62094.21,62091.61,62073.63,3.23522385,2024-10-05 07:55:00
47,1728115200,62069.6,62104.28,62073.49,62101.22,2.04793983,2024-10-05 08:00:00
46,1728115500,62092.52,62124.54,62099.65,62122.9,2.99021792,2024-10-05 08:05:00
