index,time,low,high,open,close,volume,date
47,1729123200,67608.13,67715.31,67608.45,67715.31,11.62851776,2024-10-17 00:00:00
46,1729123500,67675.97,67796.37,67725.33,67711.88,25.70271751,2024-10-17 00:05:00
45,1729123800,67676.73,67711.89,67711.88,67695.31,13.13489274,2024-10-17 00:10:00
44,1729124100,67561.68,67724.72,67695.78,67685.36,21.29080037,2024-10-17 00:15:00
43,1729124400,67648.64,67750.0,67685.35,67668.78,11.10706003,2024-10-17 00:20:00
42,1729124700,67660.05,67770.97,67669.72,67753.28,20.29413893,2024-10-17 00:25:00
41,1729125000,67753.28,67908.58,67753.28,67899.62,18.02957233,2024-10-17 00:30:00
40,1729125300,67849.66,67926.99,67899.63,67909.35,15.21471295,2024-10-17 00:35:00
39,1729125600,67842.4,67908.26,67908.26,67882.94,16.3207424,2024-10-17 00:40:00
38,1729125900,67783.7,67897.6,67880.97,67802.61,18.48274632,2024-10-17 00:45:00
37,1729126200,67684.0,67806.9,67802.61,67684.0,17.40275466,2024-10-17 00:50:00
36,1729126500,67667.22,67704.57,67684.0,67693.41,9.86991196,2024-10-17 00:55:00
35,1729126800,67652.02,67786.27,67693.41,67777.99,17.12899858,2024-10-17 01:00:00
34,1729127100,67699.46,67816.81,67777.98,67715.06,12.8735055,2024-10-17 01:05:00
33,1729127400,67660.84,67735.68,67715.05,67694.57,9.74357836,2024-10-17 01:10:00
32,1729127700,67620.18,67704.71,67694.57,67669.3,19.32978221,2024-10-17 01:15:00
31,1729128000,67609.26,67687.31,67673.3,67621.63,11.56963112,2024-10-17 01:20:00
30,1729128300,67596.58,67645.78,67621.63,67627.63,25.65310347,2024-10-17 01:25:00
29,1729128600,67401.01,67621.28,67621.28,67429.59,52.79234837,2024-10-17 01:30:00
28,1729128900,67389.7,67519.85,67429.59,67504.05,40.54648599,2024-10-17 01:35:00
27,1729129200,67468.21,67592.73,67503.43,67583.71,34.41653249,2024-10-17 01:40:00
26,1729129500,67541.88,67771.63,67580.49,67753.49,50.12412898,2024-10-17 01:45:00
25,1729129800,67721.19,67891.35,67753.08,67770.83,87.09651921,2024-10-17 01:50:00
24,1729130100,67738.42,67886.59,67770.83,67885.81,38.7509836,2024-10-17 01:55:00
23,1729130400,67789.51,67891.52,67885.81,67803.64,34.98856801,2024-10-17 02:00:00
22,1729130700,67750.0,67824.9,67803.63,67799.6,30.78443471,2024-10-17 02:05:00
21,1729131000,67661.61,67805.2,67799.63,67671.3,21.94859969,2024-10-17 02:10:00
20,1729131300,67500.01,67677.8,67671.3,67523.7,34.44274187,2024-10-17 02:15:00
19,1729131600,67492.24,67555.87,67523.7,67524.75,21.24655713,2024-10-17 02:20:00
18,1729131900,67497.79,67585.08,67528.29,67545.65,27.82333176,2024-10-17 02:25:00
17,1729132200,67496.66,67601.03,67545.65,67600.82,27.28302022,2024-10-17 02:30:00
16,1729132500,67468.9,67605.61,67600.81,67482.62,17.22867013,2024-10-17 02:35:00
15,1729132800,67383.08,67512.26,67482.62,67495.25,24.93164867,2024-10-17 02:40:00
14,1729133100,67464.62,67542.17,67495.58,67464.63,18.90406097,2024-10-17 02:45:00
13,1729133400,67421.27,67491.63,67464.62,67449.68,16.64405613,2024-10-17 02:50:00
12,1729133700,67418.18,67474.17,67449.67,67455.0,10.27185882,2024-10-17 02:55:00
11,1729134000,67423.44,67516.36,67455.0,67462.94,29.84691497,2024-10-17 03:00:00
10,1729134300,67412.72,67465.77,67463.39,67453.77,15.42409904,2024-10-17 03:05:00
9,1729134600,67430.59,67503.8,67453.77,67500.0,9.70715318,2024-10-17 03:10:00
8,1729134900,67470.45,67538.58,67499.99,67535.37,10.17513646,2024-10-17 03:15:00
7,1729135200,67527.31,67618.36,67537.58,67574.22,13.35488851,2024-10-17 03:20:00
6,1729135500,67503.48,67574.22,67574.22,67569.8,14.79097159,2024-10-17 03:25:00
5,1729135800,67507.75,67574.22,67569.72,67528.26,17.44043428,2024-10-17 03:30:00
4,1729136100,67524.84,67612.15,67528.26,67610.97,17.65897875,2024-10-17 03:35:00
3,1729136400,67588.78,67641.31,67610.97,67603.65,9.25552518,2024-10-17 03:40:00
2,1729136700,67601.96,67681.5,67603.66,67632.04,17.10720581,2024-10-17 03:45:00
1,1729137000,67581.5,67633.13,67630.57,67596.95,12.45278775,2024-10-17 03:50:00
0,1729137300,67568.76,67607.6,67596.95,67582.54,11.64705883,2024-10-17 03:55:00
47,1729137600,67516.48,67580.16,67580.16,67567.67,15.95933993,2024-10-17 04:00:00
46,1729137900,67500.0,67567.68,67567.67,67500.7,17.08358403,2024-10-17 04:05:00
45,1729138200,67461.52,67507.85,67500.02,67467.32,10.41849797,2024-10-17 04:10:00
44,1729138500,67467.31,67511.91,67467.31,67499.16,9.02738309,2024-10-17 04:15:00
43,1729138800,67435.0,67550.78,67499.17,67440.04,21.6502756,2024-10-17 04:20:00
42,1729139100,67434.91,67453.8,67441.91,67445.2,7.36847255,2024-10-17 04:25:00
41,1729139400,67410.16,67486.66,67445.21,67463.35,22.38102709,2024-10-17 04:30:00
40,1729139700,67413.03,67493.21,67463.35,67417.93,17.0750857,2024-10-17 04:35:00
39,1729140000,67286.37,67416.85,67414.8,67320.21,43.62048978,2024-10-17 04:40:00
38,1729140300,67271.49,67373.74,67320.22,67272.34,35.80169543,2024-10-17 04:45:00
37,1729140600,67220.41,67279.13,67273.0,67245.91,28.58778623,2024-10-17 04:50:00
36,1729140900,67231.54,67307.25,67245.99,67246.04,31.66071908,2024-10-17 04:55:00
35,1729141200,67231.06,67320.38,67248.07,67314.23,13.65628297,2024-10-17 05:00:00
34,1729141500,67308.62,67340.84,67308.62,67334.6,7.1223766,2024-10-17 05:05:00
33,1729141800,67270.0,67369.6,67340.36,67367.0,20.70490549,2024-10-17 05:10:00
32,1729142100,67355.31,67388.17,67363.46,67373.5,17.76562716,2024-10-17 05:15:00
31,1729142400,67294.77,67375.32,67373.5,67330.18,17.48929917,2024-10-17 05:20:00
30,1729142700,67303.46,67335.74,67330.18,67307.68,9.28842207,2024-10-17 05:25:00
29,1729143000,67260.06,67424.82,67307.68,67419.62,16.74382739,2024-10-17 05:30:00
28,1729143300,67390.63,67458.26,67419.63,67391.81,20.4264636,2024-10-17 05:35:00
27,1729143600,67362.88,67402.34,67391.82,67366.37,18.06455804,2024-10-17 05:40:00
26,1729143900,67322.14,67419.28,67366.38,67331.78,19.06044664,2024-10-17 05:45:00
25,1729144200,67288.47,67342.9,67342.45,67294.73,11.94737503,2024-10-17 05:50:00
24,1729144500,67268.13,67361.24,67294.1,67325.92,22.24014129,2024-10-17 05:55:00
23,1729144800,67253.36,67372.57,67325.43,67259.39,15.89450911,2024-10-17 06:00:00
22,1729145100,67217.01,67325.21,67259.39,67244.1,37.4592707,2024-10-17 06:05:00
21,1729145400,67221.95,67305.0,67242.56,67278.16,19.72643968,2024-10-17 06:10:00
20,1729145700,67274.13,67437.8,67278.16,67383.2,13.58783824,2024-10-17 06:15:00
19,1729146000,67340.01,67459.61,67379.41,67349.28,15.53687728,2024-10-17 06:20:00
18,1729146300,67344.44,67413.4,67347.64,67397.43,5.42997586,2024-10-17 06:25:00
17,1729146600,67386.3,67453.05,67397.42,67388.05,16.27073975,2024-10-17 06:30:00
16,1729146900,67327.84,67467.26,67386.67,67435.29,27.54028188,2024-10-17 06:35:00
15,1729147200,67427.12,67483.18,67435.32,67446.35,15.15978786,2024-10-17 06:40:00
14,1729147500,67383.92,67474.31,67446.36,67410.19,15.55548769,2024-10-17 06:45:00
13,1729147800,67337.85,67414.33,67410.16,67340.4,18.93641148,2024-10-17 06:50:00
12,1729148100,67101.32,67351.7,67342.61,67146.29,85.58257919,2024-10-17 06:55:00
11,1729148400,67102.17,67290.3,67146.29,67145.19,76.18779362,2024-10-17 07:00:00
10,1729148700,67060.09,67234.98,67146.25,67065.71,78.04658816,2024-10-17 07:05:00
9,1729149000,67060.87,67214.09,67063.74,67158.8,18.24932004,2024-10-17 07:10:00
8,1729149300,67087.79,67186.85,67158.81,67099.76,25.43019505,2024-10-17 07:15:00
7,1729149600,67060.09,67213.41,67099.77,67189.55,16.29291894,2024-10-17 07:20:00
6,1729149900,67158.58,67233.34,67189.55,67179.08,10.41475329,2024-10-17 07:25:00
5,1729150200,67117.88,67197.24,67179.08,67174.63,12.85395088,2024-10-17 07:30:00
