index,time,low,high,open,close,volume,date
47,1730160000,69784.24,69974.49,69924.49,69823.85,80.6562968,2024-10-29 00:00:00
46,1730160300,69710.76,69823.91,69823.85,69752.42,24.43182485,2024-10-29 00:05:00
45,1730160600,69705.76,69849.66,69752.43,69811.08,18.78195875,2024-10-29 00:10:00
44,1730160900,69803.09,69915.32,69811.07,69803.1,14.67375809,2024-10-29 00:15:00
43,1730161200,69786.77,69838.39,69803.1,69804.13,26.06230692,2024-10-29 00:20:00
42,1730161500,69759.54,69840.0,69804.14,69799.77,17.78117661,2024-10-29 00:25:00
41,1730161800,69719.94,69806.27,69805.54,69758.79,10.09597328,2024-10-29 00:30:00
40,1730162100,69729.47,69929.18,69758.79,69899.47,16.64323122,2024-10-29 00:35:00
39,1730162400,69740.12,69906.98,69902.82,69745.12,7.66931275,2024-10-29 00:40:00
38,1730162700,69740.07,69821.7,69745.12,69805.42,9.70426,2024-10-29 00:45:00
37,1730163000,69796.33,69963.15,69804.7,69932.21,20.08169308,2024-10-29 00:50:00
36,1730163300,69897.47,69960.0,69930.99,69908.62,14.31287888,2024-10-29 00:55:00
35,1730163600,69780.11,69939.23,69908.65,69879.55,20.53348369,2024-10-29 01:00:00
34,1730163900,69838.52,69936.44,69879.55,69856.03,13.91808684,2024-10-29 01:05:00
33,1730164200,69792.88,69881.35,69854.88,69832.94,9.4042674,2024-10-29 01:10:00
32,1730164500,69790.0,69880.56,69833.03,69857.33,13.44534858,2024-10-29 01:15:00
31,1730164800,69832.99,69958.77,69857.32,69944.86,11.34823549,2024-10-29 01:20:00
30,1730165100,69792.61,69960.0,69937.96,69868.31,23.30234538,2024-10-29 01:25:00
29,1730165400,69838.47,69889.74,69868.32,69871.09,10.579711,2024-10-29 01:30:00
28,1730165700,69820.81,69951.78,69871.09,69879.45,17.874091,2024-10-29 01:35:00
27,1730166000,69866.92,69936.44,69870.41,69926.65,25.72193823,2024-10-29 01:40:00
26,1730166300,69884.85,70145.0,69926.65,70021.89,54.5885127,2024-10-29 01:45:00
25,1730166600,69931.33,70060.2,70011.19,70060.17,15.0683282,2024-10-29 01:50:00
24,1730166900,70059.06,70300.0,70062.86,70249.93,105.61514896,2024-10-29 01:55:00
23,1730167200,70165.53,70414.23,70249.93,70277.81,97.35036098,2024-10-29 02:00:00
22,1730167500,70277.82,70578.99,70277.82,70555.29,132.83839807,2024-10-29 02:05:00
21,1730167800,70564.96,71000.0,70564.96,70957.16,289.03795178,2024-10-29 02:10:00
20,1730168100,70730.75,71098.0,70963.46,70963.35,276.85554255,2024-10-29 02:15:00
19,1730168400,70956.18,71500.0,70963.34,71455.44,317.80315631,2024-10-29 02:20:00
18,1730168700,71200.65,71490.46,71470.23,71300.01,147.05328507,2024-10-29 02:25:00
17,1730169000,71137.78,71441.74,71300.01,71287.72,122.30007941,2024-10-29 02:30:00
16,1730169300,71151.86,71335.65,71287.72,71211.36,111.05721062,2024-10-29 02:35:00
15,1730169600,71190.47,71350.0,71215.43,71312.06,82.60277891,2024-10-29 02:40:00
14,1730169900,71100.0,71363.73,71309.12,71176.35,98.18309835,2024-10-29 02:45:00
13,1730170200,71067.0,71247.03,71176.35,71192.35,81.66847363,2024-10-29 02:50:00
