index,time,low,high,open,close,volume,date
47,1728259200,62769.8,62848.75,62810.93,62842.17,29.83603778,2024-10-07 00:00:00
46,1728259500,62773.72,62889.57,62842.17,62788.49,24.12160956,2024-10-07 00:05:00
45,1728259800,62645.15,62803.16,62786.65,62797.34,13.17134124,2024-10-07 00:10:00
44,1728260100,62746.63,62900.0,62799.14,62874.02,12.18091095,2024-10-07 00:15:00
43,1728260400,62850.7,62977.04,62874.02,62892.58,29.14455861,2024-10-07 00:20:00
42,1728260700,62713.03,62898.81,62891.77,62770.63,14.55435091,2024-10-07 00:25:00
41,1728261000,62696.65,62850.28,62760.8,62842.6,11.36553882,2024-10-07 00:30:00
40,1728261300,62837.41,63226.02,62842.61,63198.54,99.29832918,2024-10-07 00:35:00
39,1728261600,63147.78,63397.37,63203.42,63309.14,63.0979285,2024-10-07 00:40:00
38,1728261900,63234.4,63588.0,63306.96,63588.0,71.15820294,2024-10-07 00:45:00
37,1728262200,63542.51,63700.0,63589.01,63606.31,42.27666632,2024-10-07 00:50:00
36,1728262500,63588.0,63719.12,63603.02,63672.75,33.53591905,2024-10-07 00:55:00
35,1728262800,63658.06,63813.92,63666.64,63811.93,35.68520236,2024-10-07 01:00:00
34,1728263100,63751.37,63970.03,63811.92,63944.57,93.21547692,2024-10-07 01:05:00
33,1728263400,63865.01,63975.37,63940.13,63879.96,127.1833411,2024-10-07 01:10:00
32,1728263700,63686.16,63913.17,63879.99,63842.92,79.99102157,2024-10-07 01:15:00
31,1728264000,63726.95,63850.85,63834.33,63743.2,23.95669359,2024-10-07 01:20:00
30,1728264300,63741.2,63890.66,63747.82,63832.5,19.09036502,2024-10-07 01:25:00
29,1728264600,63775.52,63901.67,63838.31,63884.61,25.0232844,2024-10-07 01:30:00
28,1728264900,63786.8,63911.94,63878.68,63807.88,42.20506331,2024-10-07 01:35:00
27,1728265200,63755.04,63866.01,63809.23,63789.58,14.7756993,2024-10-07 01:40:00
26,1728265500,63769.61,63859.47,63784.69,63783.84,17.07464654,2024-10-07 01:45:00
25,1728265800,63766.9,63844.34,63783.84,63809.12,32.72079578,2024-10-07 01:50:00
24,1728266100,63787.13,63875.8,63809.11,63807.39,23.36848417,2024-10-07 01:55:00
23,1728266400,63804.54,63945.3,63811.21,63874.56,19.56814784,2024-10-07 02:00:00
22,1728266700,63850.0,63929.76,63878.08,63887.43,11.08544328,2024-10-07 02:05:00
21,1728267000,63851.45,63898.81,63887.42,63855.65,14.08749646,2024-10-07 02:10:00
20,1728267300,63800.58,63903.01,63855.65,63880.87,28.22404297,2024-10-07 02:15:00
19,1728267600,63863.16,63948.72,63880.45,63917.77,38.30100944,2024-10-07 02:20:00
18,1728267900,63835.02,63923.33,63916.69,63837.45,18.70236632,2024-10-07 02:25:00
17,1728268200,63735.11,63855.29,63837.46,63795.06,14.39935999,2024-10-07 02:30:00
16,1728268500,63655.52,63795.06,63795.06,63659.96,39.15505801,2024-10-07 02:35:00
15,1728268800,63581.13,63683.85,63666.1,63621.01,15.16549592,2024-10-07 02:40:00
14,1728269100,63623.78,63724.08,63624.24,63698.41,11.1383092,2024-10-07 02:45:00
13,1728269400,63674.58,63724.43,63698.99,63696.54,8.64380529,2024-10-07 02:50:00
12,1728269700,63598.11,63696.54,63696.54,63632.03,6.98048348,2024-10-07 02:55:00
