index,time,low,high,open,close,volume,date
47,1728518400,60534.87,60630.12,60578.28,60537.44,40.24561248,2024-10-10 00:00:00
46,1728518700,60474.26,60556.3,60537.44,60482.41,39.80492613,2024-10-10 00:05:00
45,1728519000,60418.01,60556.23,60482.41,60543.73,58.34516403,2024-10-10 00:10:00
44,1728519300,60400.0,60571.25,60546.37,60421.0,25.24704771,2024-10-10 00:15:00
43,1728519600,60387.61,60450.82,60421.0,60427.67,25.23880873,2024-10-10 00:20:00
42,1728519900,60305.35,60438.85,60428.54,60434.87,64.39592584,2024-10-10 00:25:00
41,1728520200,60383.28,60520.34,60434.49,60403.95,17.03491346,2024-10-10 00:30:00
40,1728520500,60308.08,60465.24,60400.6,60376.51,29.19101476,2024-10-10 00:35:00
39,1728520800,60339.47,60417.13,60376.51,60409.38,25.50165025,2024-10-10 00:40:00
38,1728521100,60344.05,60470.58,60409.38,60469.4,32.15587946,2024-10-10 00:45:00
37,1728521400,60451.05,60502.2,60469.31,60454.58,26.29067608,2024-10-10 00:50:00
36,1728521700,60362.14,60457.08,60454.58,60374.49,19.36075057,2024-10-10 00:55:00
35,1728522000,60364.95,60510.59,60374.49,60494.76,17.06699078,2024-10-10 01:00:00
34,1728522300,60485.09,60532.91,60494.76,60501.92,14.81363149,2024-10-10 01:05:00
33,1728522600,60453.58,60562.64,60501.91,60520.03,8.33202796,2024-10-10 01:10:00
32,1728522900,60524.53,60614.34,60524.53,60582.77,34.04921171,2024-10-10 01:15:00
31,1728523200,60538.52,60612.28,60581.9,60607.09,33.1799491,2024-10-10 01:20:00
30,1728523500,60487.34,60612.28,60609.03,60546.82,22.14537631,2024-10-10 01:25:00
29,1728523800,60527.44,60657.67,60554.89,60650.84,16.49213663,2024-10-10 01:30:00
28,1728524100,60614.96,60738.49,60650.84,60699.18,31.94471635,2024-10-10 01:35:00
27,1728524400,60666.37,60744.09,60703.83,60733.67,11.80157705,2024-10-10 01:40:00
26,1728524700,60688.05,60776.7,60733.66,60743.64,37.33412527,2024-10-10 01:45:00
25,1728525000,60695.84,60790.0,60743.63,60724.09,25.73887422,2024-10-10 01:50:00
