index,time,low,high,open,close,volume,date
47,1729641600,67325.36,67415.65,67389.7,67333.31,29.91799847,2024-10-23 00:00:00
46,1729641900,67257.89,67337.93,67335.11,67311.07,21.9087603,2024-10-23 00:05:00
45,1729642200,67163.93,67319.83,67315.15,67170.0,15.96485291,2024-10-23 00:10:00
44,1729642500,67120.02,67204.61,67170.0,67168.57,31.06795303,2024-10-23 00:15:00
43,1729642800,67084.18,67207.33,67168.66,67146.3,26.72065775,2024-10-23 00:20:00
42,1729643100,67146.29,67227.9,67146.3,67216.18,11.76588106,2024-10-23 00:25:00
41,1729643400,67148.08,67232.59,67213.29,67217.0,11.38024088,2024-10-23 00:30:00
40,1729643700,67168.7,67221.48,67215.85,67181.56,15.11903972,2024-10-23 00:35:00
39,1729644000,67105.84,67181.02,67176.72,67142.5,10.64965142,2024-10-23 00:40:00
38,1729644300,67080.68,67177.79,67140.53,67169.17,15.85246367,2024-10-23 00:45:00
37,1729644600,67075.0,67170.11,67169.17,67085.55,10.26628173,2024-10-23 00:50:00
36,1729644900,67084.36,67163.02,67089.89,67124.05,16.23726337,2024-10-23 00:55:00
35,1729645200,67105.01,67210.79,67124.04,67196.96,14.93598948,2024-10-23 01:00:00
34,1729645500,67148.01,67206.89,67196.87,67185.53,9.12931753,2024-10-23 01:05:00
33,1729645800,67129.37,67185.52,67185.52,67136.05,3.1980765,2024-10-23 01:10:00
32,1729646100,67133.21,67218.36,67136.11,67215.0,8.14973236,2024-10-23 01:15:00
31,1729646400,67215.0,67289.27,67215.0,67277.33,3.13901153,2024-10-23 01:20:00
30,1729646700,67253.21,67306.4,67275.02,67260.51,8.87988497,2024-10-23 01:25:00
29,1729647000,67190.02,67278.23,67260.5,67276.35,8.72857025,2024-10-23 01:30:00
28,1729647300,67276.36,67328.37,67276.36,67326.8,3.89949904,2024-10-23 01:35:00
27,1729647600,67291.85,67340.74,67326.8,67302.87,6.18103503,2024-10-23 01:40:00
26,1729647900,67278.29,67321.53,67302.75,67278.29,8.61307721,2024-10-23 01:45:00
25,1729648200,67228.56,67293.69,67283.0,67290.96,10.90348748,2024-10-23 01:50:00
24,1729648500,67281.04,67331.92,67288.36,67297.92,7.40155724,2024-10-23 01:55:00
23,1729648800,67281.04,67339.5,67297.91,67323.54,3.5975094,2024-10-23 02:00:00
22,1729649100,67227.28,67322.1,67322.1,67303.5,21.35533362,2024-10-23 02:05:00
21,1729649400,67242.2,67303.51,67303.5,67255.94,17.97720275,2024-10-23 02:10:00
20,1729649700,67156.04,67290.96,67255.94,67174.6,7.81451938,2024-10-23 02:15:00
19,1729650000,67139.62,67186.18,67174.39,67146.07,14.01982081,2024-10-23 02:20:00
18,1729650300,67024.88,67148.11,67145.91,67040.82,14.17571254,2024-10-23 02:25:00
17,1729650600,67012.71,67131.37,67040.82,67110.93,18.78654155,2024-10-23 02:30:00
16,1729650900,67047.65,67147.11,67114.55,67047.65,8.59769123,2024-10-23 02:35:00
15,1729651200,67036.37,67116.43,67047.65,67112.52,9.31628104,2024-10-23 02:40:00
14,1729651500,67074.95,67175.54,67113.89,67117.54,11.64161018,2024-10-23 02:45:00
13,1729651800,67045.29,67122.25,67117.43,67049.0,7.97864225,2024-10-23 02:50:00
12,1729652100,67022.88,67058.79,67049.0,67042.84,3.22347065,2024-10-23 02:55:00
11,1729652400,67000.0,67105.47,67042.84,67093.37,7.96390067,2024-10-23 03:00:00
10,1729652700,67066.63,67131.24,67093.37,67122.99,3.06511756,2024-10-23 03:05:00
9,1729653000,67006.56,67122.98,67122.98,67057.36,25.03503095,2024-10-23 03:10:00
8,1729653300,66937.54,67077.97,67057.36,66954.43,16.12778515,2024-10-23 03:15:00
7,1729653600,66892.17,66967.0,66957.25,66896.38,19.01680149,2024-10-23 03:20:00
