index,time,low,high,open,close,volume,date
47,1728345600,62200.45,62325.14,62203.82,62283.7,30.90388577,2024-10-08 00:00:00
46,1728345900,62139.43,62362.13,62283.7,62160.19,43.1422459,2024-10-08 00:05:00
45,1728346200,62151.63,62362.49,62163.96,62326.92,35.89337952,2024-10-08 00:10:00
44,1728346500,62230.74,62396.64,62331.06,62274.61,27.62622259,2024-10-08 00:15:00
43,1728346800,62259.56,62394.69,62275.0,62381.86,36.33679388,2024-10-08 00:20:00
42,1728347100,62338.37,62450.0,62388.34,62360.98,15.56828095,2024-10-08 00:25:00
41,1728347400,62364.34,62557.65,62364.34,62519.82,27.42581161,2024-10-08 00:30:00
40,1728347700,62432.44,62528.19,62527.33,62480.69,10.11476479,2024-10-08 00:35:00
39,1728348000,62455.01,62543.72,62478.06,62518.72,11.93963885,2024-10-08 00:40:00
38,1728348300,62439.81,62568.52,62518.77,62476.36,13.32096499,2024-10-08 00:45:00
37,1728348600,62446.85,62509.65,62476.37,62474.88,5.22544421,2024-10-08 00:50:00
36,1728348900,62459.65,62546.15,62475.7,62531.96,4.37409224,2024-10-08 00:55:00
35,1728349200,62459.02,62536.18,62528.15,62528.55,9.61081075,2024-10-08 01:00:00
34,1728349500,62446.85,62569.75,62528.34,62562.54,7.09536674,2024-10-08 01:05:00
33,1728349800,62501.99,62567.23,62567.23,62508.37,13.92127659,2024-10-08 01:10:00
32,1728350100,62338.24,62500.0,62500.0,62369.2,8.9880314,2024-10-08 01:15:00
31,1728350400,62345.34,62436.27,62370.86,62417.58,5.55334765,2024-10-08 01:20:00
30,1728350700,62346.37,62424.87,62419.42,62424.8,6.70292133,2024-10-08 01:25:00
29,1728351000,62291.16,62560.6,62419.47,62552.36,61.81337621,2024-10-08 01:30:00
28,1728351300,62540.68,62634.81,62552.36,62595.99,29.56734708,2024-10-08 01:35:00
27,1728351600,62580.01,62634.51,62593.39,62627.53,10.37565052,2024-10-08 01:40:00
26,1728351900,62621.83,62709.59,62626.83,62677.95,12.33839752,2024-10-08 01:45:00
