index,time,low,high,open,close,volume,date
47,1728432000,62041.86,62158.72,62118.44,62093.83,18.39873657,2024-10-09 00:00:00
46,1728432300,62065.0,62152.59,62093.93,62067.08,11.43682759,2024-10-09 00:05:00
45,1728432600,62016.88,62124.22,62067.07,62113.23,6.62203711,2024-10-09 00:10:00
44,1728432900,62100.01,62211.83,62113.22,62157.61,6.65229863,2024-10-09 00:15:00
43,1728433200,62075.73,62169.51,62157.62,62133.6,4.03167884,2024-10-09 00:20:00
42,1728433500,62107.71,62199.31,62133.6,62190.34,6.49123022,2024-10-09 00:25:00
41,1728433800,62169.7,62237.84,62190.35,62187.29,3.0505959,2024-10-09 00:30:00
40,1728434100,61964.88,62214.59,62188.11,61997.33,12.88860524,2024-10-09 00:35:00
39,1728434400,61967.49,62061.26,61997.33,62023.83,10.02162304,2024-10-09 00:40:00
38,1728434700,61990.05,62163.28,62026.92,62100.65,7.86489953,2024-10-09 00:45:00
37,1728435000,62016.13,62100.65,62100.64,62067.86,15.96238638,2024-10-09 00:50:00
36,1728435300,62036.22,62121.68,62069.35,62117.34,15.54839481,2024-10-09 00:55:00
35,1728435600,62066.98,62157.02,62117.61,62153.14,8.20537385,2024-10-09 01:00:00
34,1728435900,62067.05,62192.93,62153.07,62155.81,11.08469401,2024-10-09 01:05:00
33,1728436200,62121.55,62179.5,62153.41,62162.88,6.16128108,2024-10-09 01:10:00
32,1728436500,62128.51,62318.88,62162.46,62283.01,15.55032949,2024-10-09 01:15:00
31,1728436800,62210.29,62339.91,62282.11,62283.06,20.60354019,2024-10-09 01:20:00
30,1728437100,62236.35,62351.03,62283.05,62335.85,15.95898731,2024-10-09 01:25:00
29,1728437400,62296.7,62437.14,62335.84,62412.88,36.45350638,2024-10-09 01:30:00
28,1728437700,62373.78,62466.08,62402.03,62393.99,14.35272506,2024-10-09 01:35:00
27,1728438000,62358.51,62433.59,62386.16,62392.56,4.32230029,2024-10-09 01:40:00
26,1728438300,62271.45,62427.31,62392.56,62293.34,22.34576585,2024-10-09 01:45:00
25,1728438600,62284.27,62419.36,62297.05,62417.77,15.90024066,2024-10-09 01:50:00
24,1728438900,62357.94,62441.65,62417.76,62357.94,4.31983007,2024-10-09 01:55:00
23,1728439200,62285.11,62387.33,62369.4,62303.96,8.09238735,2024-10-09 02:00:00
22,1728439500,62273.36,62328.44,62310.11,62293.51,4.32617432,2024-10-09 02:05:00
21,1728439800,62269.63,62340.88,62289.66,62280.89,6.27454439,2024-10-09 02:10:00
20,1728440100,62250.0,62293.36,62280.89,62288.81,4.00494904,2024-10-09 02:15:00
19,1728440400,62286.59,62328.29,62289.18,62311.37,10.99575112,2024-10-09 02:20:00
18,1728440700,62259.93,62337.75,62311.37,62269.75,3.79961484,2024-10-09 02:25:00
17,1728441000,62228.18,62279.82,62269.44,62231.95,4.02639688,2024-10-09 02:30:00
16,1728441300,62231.94,62289.55,62233.08,62281.53,7.14882671,2024-10-09 02:35:00
15,1728441600,62274.97,62330.21,62281.53,62296.68,5.38328182,2024-10-09 02:40:00
14,1728441900,62259.66,62319.1,62295.24,62307.29,7.58704984,2024-10-09 02:45:00
13,1728442200,62239.4,62332.18,62307.28,62251.06,3.0542444,2024-10-09 02:50:00
12,1728442500,62220.38,62268.09,62251.05,62233.2,3.70174694,2024-10-09 02:55:00
11,1728442800,62231.14,62289.79,62231.14,62254.79,3.707684,2024-10-09 03:00:00
10,1728443100,62110.55,62254.79,62254.79,62157.35,12.94310543,2024-10-09 03:05:00
9,1728443400,62133.97,62234.9,62156.98,62213.14,4.74676025,2024-10-09 03:10:00
8,1728443700,62159.2,62259.61,62213.14,62258.63,4.05178921,2024-10-09 03:15:00
7,1728444000,62254.32,62332.4,62258.49,62297.6,7.17401419,2024-10-09 03:20:00
6,1728444300,62289.49,62350.0,62297.69,62346.67,7.55248725,2024-10-09 03:25:00
5,1728444600,62320.29,62360.37,62347.06,62332.37,5.13635864,2024-10-09 03:30:00
4,1728444900,62315.43,62380.63,62332.38,62380.63,4.50752233,2024-10-09 03:35:00
3,1728445200,62338.92,62424.58,62380.63,62353.14,22.9863555,2024-10-09 03:40:00
2,1728445500,62332.59,62403.13,62353.14,62335.56,24.74963182,2024-10-09 03:45:00
1,1728445800,62311.99,62359.17,62335.39,62347.88,13.46792888,2024-10-09 03:50:00
0,1728446100,62320.29,62364.8,62347.88,62347.88,9.14283158,2024-10-09 03:55:00
47,1728446400,62284.27,62348.01,62347.71,62310.48,10.38903682,2024-10-09 04:00:00
46,1728446700,62307.99,62400.0,62315.03,62367.55,15.76880752,2024-10-09 04:05:00
45,1728447000,62319.81,62373.73,62364.81,62359.86,10.63510104,2024-10-09 04:10:00
44,1728447300,62357.55,62386.88,62360.1,62378.83,2.4157486,2024-10-09 04:15:00
43,1728447600,62311.8,62378.93,62378.74,62327.07,2.24723889,2024-10-09 04:20:00
42,1728447900,62319.59,62367.89,62327.07,62342.9,2.4274139,2024-10-09 04:25:00
41,1728448200,62337.59,62375.27,62346.7,62352.68,2.12713455,2024-10-09 04:30:00
40,1728448500,62335.66,62380.78,62352.68,62367.64,3.19870069,2024-10-09 04:35:00
39,1728448800,62313.86,62367.55,62367.55,62346.15,8.34945833,2024-10-09 04:40:00
38,1728449100,62260.61,62349.99,62346.16,62279.54,2.61805122,2024-10-09 04:45:00
37,1728449400,62260.78,62325.74,62277.88,62316.01,3.48276742,2024-10-09 04:50:00
36,1728449700,62289.94,62316.01,62316.0,62310.48,3.90124479,2024-10-09 04:55:00
35,1728450000,62308.09,62419.28,62310.48,62405.49,15.45545837,2024-10-09 05:00:00
34,1728450300,62341.33,62411.61,62405.5,62366.52,4.27465036,2024-10-09 05:05:00
33,1728450600,62343.64,62392.46,62366.52,62357.45,2.94124025,2024-10-09 05:10:00
32,1728450900,62338.38,62397.76,62357.45,62370.78,2.16399381,2024-10-09 05:15:00
31,1728451200,62367.27,62463.64,62367.27,62457.62,5.0939142,2024-10-09 05:20:00
30,1728451500,62376.82,62460.81,62450.28,62391.75,8.83704558,2024-10-09 05:25:00
29,1728451800,62370.46,62434.17,62391.76,62429.82,1.63762535,2024-10-09 05:30:00
28,1728452100,62423.69,62462.56,62429.41,62456.85,2.61357337,2024-10-09 05:35:00
27,1728452400,62446.3,62486.64,62456.86,62473.24,3.46373234,2024-10-09 05:40:00
26,1728452700,62391.16,62473.24,62473.24,62434.88,12.88082858,2024-10-09 05:45:00
25,1728453000,62427.95,62471.24,62434.88,62446.4,5.52546628,2024-10-09 05:50:00
24,1728453300,62446.4,62507.68,62446.4,62489.62,39.35124167,2024-10-09 05:55:00
23,1728453600,62458.79,62490.35,62489.62,62458.8,4.28219275,2024-10-09 06:00:00
22,1728453900,62457.19,62491.97,62458.79,62484.28,3.34742608,2024-10-09 06:05:00
21,1728454200,62434.03,62504.32,62479.21,62483.28,4.68830597,2024-10-09 06:10:00
20,1728454500,62439.84,62502.2,62483.31,62455.06,3.83263368,2024-10-09 06:15:00
19,1728454800,62443.53,62499.12,62460.82,62484.17,3.75666758,2024-10-09 06:20:00
18,1728455100,62452.69,62493.99,62484.11,62467.25,2.5185627,2024-10-09 06:25:00
17,1728455400,62391.15,62483.82,62467.25,62391.16,2.77129597,2024-10-09 06:30:00
16,1728455700,62353.55,62397.83,62391.16,62375.75,1.67560166,2024-10-09 06:35:00
15,1728456000,62375.75,62403.87,62375.75,62390.62,5.46156834,2024-10-09 06:40:00
14,1728456300,62339.2,62417.41,62393.76,62401.81,1.86558555,2024-10-09 06:45:00
13,1728456600,62387.78,62415.64,62401.61,62414.82,2.3336824,2024-10-09 06:50:00
12,1728456900,62371.26,62414.82,62414.82,62400.0,2.60003355,2024-10-09 06:55:00
11,1728457200,62300.19,62399.99,62399.99,62307.86,3.8923239,2024-10-09 07:00:00
10,1728457500,62277.1,62366.17,62310.55,62277.1,1.69305572,2024-10-09 07:05:00
9,1728457800,62180.4,62286.99,62277.05,62188.15,6.46805072,2024-10-09 07:10:00
8,1728458100,62170.97,62243.16,62188.14,62216.8,7.1679373,2024-10-09 07:15:00
7,1728458400,62152.55,62216.8,62216.8,62162.13,8.22670792,2024-10-09 07:20:00
6,1728458700,62163.88,62241.76,62163.88,62217.56,6.98737602,2024-10-09 07:25:00
