index,time,low,high,open,close,volume,date
47,1730073600,67943.18,68011.77,67943.18,67957.77,45.38674323,2024-10-28 00:00:00
46,1730073900,67881.21,67970.54,67951.39,67939.11,33.14024478,2024-10-28 00:05:00
45,1730074200,67906.37,68030.28,67937.96,67977.76,27.21803132,2024-10-28 00:10:00
44,1730074500,67919.15,68039.95,67977.76,67952.41,40.53704315,2024-10-28 00:15:00
43,1730074800,67943.78,68016.03,67952.41,67976.35,27.65039177,2024-10-28 00:20:00
42,1730075100,67946.23,67991.49,67976.34,67963.12,10.2457984,2024-10-28 00:25:00
41,1730075400,67858.81,67978.61,67964.32,67921.93,18.89398025,2024-10-28 00:30:00
40,1730075700,67889.6,67977.26,67926.66,67909.45,8.43988148,2024-10-28 00:35:00
39,1730076000,67777.22,67910.57,67909.45,67793.92,20.39732462,2024-10-28 00:40:00
38,1730076300,67745.39,67875.82,67793.96,67798.89,24.72004227,2024-10-28 00:45:00
37,1730076600,67733.35,67833.63,67796.65,67774.01,18.11384299,2024-10-28 00:50:00
36,1730076900,67749.07,67810.62,67769.43,67765.66,8.74652559,2024-10-28 00:55:00
35,1730077200,67719.36,67798.86,67763.02,67760.92,11.47118813,2024-10-28 01:00:00
34,1730077500,67758.93,67817.83,67763.68,67769.81,9.28187843,2024-10-28 01:05:00
33,1730077800,67711.0,67812.09,67769.8,67793.27,14.92553062,2024-10-28 01:10:00
32,1730078100,67673.48,67799.48,67788.57,67741.79,16.10720141,2024-10-28 01:15:00
31,1730078400,67670.73,67741.72,67738.71,67683.83,7.53665067,2024-10-28 01:20:00
30,1730078700,67679.94,67716.12,67685.7,67710.25,6.305301,2024-10-28 01:25:00
29,1730079000,67667.41,67750.0,67712.28,67738.93,6.25713317,2024-10-28 01:30:00
28,1730079300,67684.83,67745.82,67738.97,67716.68,5.42308031,2024-10-28 01:35:00
27,1730079600,67684.96,67719.26,67716.68,67696.93,6.30067209,2024-10-28 01:40:00
26,1730079900,67654.81,67721.14,67696.66,67709.06,5.56392846,2024-10-28 01:45:00
25,1730080200,67642.7,67721.13,67709.06,67665.71,8.96456029,2024-10-28 01:50:00
24,1730080500,67644.45,67691.84,67666.24,67657.78,8.50185759,2024-10-28 01:55:00
23,1730080800,67583.71,67680.74,67651.57,67587.99,15.70191292,2024-10-28 02:00:00
22,1730081100,67583.76,67696.8,67587.07,67668.29,5.89361105,2024-10-28 02:05:00
21,1730081400,67633.66,67672.87,67668.29,67648.0,5.60010722,2024-10-28 02:10:00
20,1730081700,67630.64,67670.01,67648.0,67645.43,4.89915359,2024-10-28 02:15:00
19,1730082000,67608.41,67651.5,67645.43,67630.61,4.15069747,2024-10-28 02:20:00
18,1730082300,67623.17,67776.9,67629.47,67764.01,10.09711543,2024-10-28 02:25:00
17,1730082600,67646.69,67764.0,67764.0,67672.98,5.5063283,2024-10-28 02:30:00
16,1730082900,67646.05,67744.28,67672.98,67744.26,13.03517984,2024-10-28 02:35:00
15,1730083200,67661.95,67751.46,67746.03,67679.98,3.28942336,2024-10-28 02:40:00
14,1730083500,67671.54,67722.56,67682.53,67705.29,1.9436264,2024-10-28 02:45:00
13,1730083800,67695.48,67737.24,67704.82,67711.08,3.08776839,2024-10-28 02:50:00
12,1730084100,67700.02,67736.35,67706.3,67710.62,5.0058367,2024-10-28 02:55:00
11,1730084400,67686.3,67824.29,67713.56,67816.75,6.24985743,2024-10-28 03:00:00
10,1730084700,67792.8,67844.54,67816.75,67822.45,19.62763309,2024-10-28 03:05:00
9,1730085000,67816.97,67864.07,67822.46,67842.93,25.23889352,2024-10-28 03:10:00
8,1730085300,67775.85,67844.86,67842.92,67825.16,31.96930546,2024-10-28 03:15:00
7,1730085600,67817.29,67892.76,67825.15,67877.25,19.10423092,2024-10-28 03:20:00
6,1730085900,67842.67,67906.94,67877.25,67844.79,5.4656632,2024-10-28 03:25:00
5,1730086200,67766.45,67874.24,67844.89,67786.4,6.30236374,2024-10-28 03:30:00
4,1730086500,67706.08,67791.29,67786.4,67731.54,5.83254493,2024-10-28 03:35:00
3,1730086800,67687.45,67761.97,67731.0,67740.3,37.71886131,2024-10-28 03:40:00
2,1730087100,67627.4,67738.95,67738.95,67665.27,8.90213453,2024-10-28 03:45:00
1,1730087400,67618.96,67686.3,67665.26,67645.74,16.13934543,2024-10-28 03:50:00
0,1730087700,67627.99,67665.93,67645.73,67646.8,13.26376139,2024-10-28 03:55:00
47,1730088000,67597.76,67667.65,67646.81,67649.28,30.16007647,2024-10-28 04:00:00
46,1730088300,67649.29,67718.91,67649.29,67698.21,19.83029034,2024-10-28 04:05:00
45,1730088600,67676.32,67719.96,67698.21,67711.54,6.6793665,2024-10-28 04:10:00
44,1730088900,67651.23,67719.26,67709.66,67713.81,13.81792912,2024-10-28 04:15:00
43,1730089200,67606.83,67712.69,67712.24,67606.83,24.08158765,2024-10-28 04:20:00
42,1730089500,67551.43,67617.71,67606.82,67593.49,43.79381555,2024-10-28 04:25:00
41,1730089800,67571.59,67629.53,67587.15,67586.36,7.80157016,2024-10-28 04:30:00
40,1730090100,67559.28,67608.88,67582.74,67598.95,7.44358512,2024-10-28 04:35:00
39,1730090400,67562.1,67607.87,67598.94,67590.2,8.60146457,2024-10-28 04:40:00
38,1730090700,67586.24,67661.18,67590.7,67657.88,13.55520067,2024-10-28 04:45:00
37,1730091000,67657.87,67684.89,67657.88,67684.89,9.28341903,2024-10-28 04:50:00
36,1730091300,67657.12,67697.2,67684.89,67658.54,6.23623933,2024-10-28 04:55:00
35,1730091600,67618.99,67660.42,67660.42,67643.34,5.5901816,2024-10-28 05:00:00
34,1730091900,67622.28,67670.14,67643.34,67666.49,2.51506179,2024-10-28 05:05:00
33,1730092200,67612.39,67666.49,67666.49,67617.01,14.54435235,2024-10-28 05:10:00
32,1730092500,67617.0,67658.97,67617.01,67633.8,11.31542416,2024-10-28 05:15:00
31,1730092800,67621.92,67671.21,67628.85,67634.01,13.3324211,2024-10-28 05:20:00
30,1730093100,67620.44,67653.71,67634.01,67620.48,8.68635566,2024-10-28 05:25:00
29,1730093400,67532.48,67620.48,67620.48,67571.66,38.41603533,2024-10-28 05:30:00
28,1730093700,67571.66,67713.94,67571.66,67674.48,13.91354324,2024-10-28 05:35:00
27,1730094000,67661.74,67702.46,67674.48,67677.58,6.07402606,2024-10-28 05:40:00
26,1730094300,67664.91,67752.99,67674.8,67748.42,5.46085093,2024-10-28 05:45:00
25,1730094600,67747.46,67877.72,67748.42,67846.31,8.28446593,2024-10-28 05:50:00
24,1730094900,67811.44,67850.56,67846.3,67825.0,5.91453134,2024-10-28 05:55:00
23,1730095200,67790.38,67867.53,67825.0,67845.69,42.18404134,2024-10-28 06:00:00
22,1730095500,67787.74,67846.92,67846.91,67791.6,10.39641996,2024-10-28 06:05:00
21,1730095800,67753.5,67820.34,67793.16,67764.42,8.57442524,2024-10-28 06:10:00
20,1730096100,67762.85,67814.52,67764.41,67793.25,7.77965189,2024-10-28 06:15:00
19,1730096400,67753.03,67796.79,67796.79,67769.72,7.59910342,2024-10-28 06:20:00
18,1730096700,67714.77,67774.4,67769.73,67746.68,5.53095093,2024-10-28 06:25:00
17,1730097000,67707.9,67760.65,67746.68,67751.2,4.63860212,2024-10-28 06:30:00
16,1730097300,67749.43,67794.97,67749.43,67784.91,4.17926413,2024-10-28 06:35:00
15,1730097600,67783.46,67809.54,67784.9,67803.59,5.67330889,2024-10-28 06:40:00
14,1730097900,67799.46,67855.57,67803.6,67830.93,4.0865325,2024-10-28 06:45:00
13,1730098200,67809.22,67840.41,67828.25,67821.81,3.65998371,2024-10-28 06:50:00
12,1730098500,67821.8,67867.05,67821.8,67867.05,2.08363236,2024-10-28 06:55:00
11,1730098800,67867.05,67999.99,67867.05,67949.98,50.05296432,2024-10-28 07:00:00
10,1730099100,67929.39,68128.94,67947.63,68128.94,19.23011815,2024-10-28 07:05:00
9,1730099400,68097.31,68359.91,68128.94,68348.77,70.17027004,2024-10-28 07:10:00
8,1730099700,68274.64,68500.0,68342.14,68454.61,116.29078024,2024-10-28 07:15:00
7,1730100000,68444.91,68561.65,68452.25,68542.92,63.8527381,2024-10-28 07:20:00
6,1730100300,68482.09,68576.98,68542.92,68496.01,35.46578631,2024-10-28 07:25:00
5,1730100600,68361.2,68569.75,68504.51,68380.32,32.56722597,2024-10-28 07:30:00
4,1730100900,68382.8,68545.21,68382.8,68441.47,42.29151682,2024-10-28 07:35:00
3,1730101200,68335.45,68490.41,68438.61,68397.15,68.97735061,2024-10-28 07:40:00
2,1730101500,68273.75,68425.12,68397.15,68406.06,63.45773927,2024-10-28 07:45:00
1,1730101800,68368.07,68440.2,68406.06,68410.2,38.29686978,2024-10-28 07:50:00
0,1730102100,68326.0,68410.2,68410.19,68328.5,21.06177118,2024-10-28 07:55:00
47,1730102400,68325.99,68404.99,68332.02,68396.86,26.05634676,2024-10-28 08:00:00
46,1730102700,68324.4,68407.45,68393.08,68356.31,25.46168561,2024-10-28 08:05:00
45,1730103000,68344.71,68449.12,68356.34,68449.12,24.54384326,2024-10-28 08:10:00
44,1730103300,68388.57,68510.34,68449.13,68390.6,26.2353449,2024-10-28 08:15:00
43,1730103600,68341.28,68403.62,68388.87,68341.28,14.58227701,2024-10-28 08:20:00
42,1730103900,68337.21,68403.62,68337.21,68363.79,18.98469513,2024-10-28 08:25:00
41,1730104200,68284.93,68367.78,68363.79,68297.84,21.84485304,2024-10-28 08:30:00
40,1730104500,68254.96,68311.75,68300.46,68258.73,20.39842622,2024-10-28 08:35:00
39,1730104800,68244.0,68285.04,68258.73,68272.71,18.48746613,2024-10-28 08:40:00
38,1730105100,68244.0,68323.5,68273.27,68323.5,27.77512382,2024-10-28 08:45:00
37,1730105400,68235.79,68323.49,68323.49,68245.18,21.42034434,2024-10-28 08:50:00
36,1730105700,68235.28,68249.99,68242.87,68241.57,20.74102305,2024-10-28 08:55:00
35,1730106000,68182.84,68274.76,68241.01,68231.96,45.23488162,2024-10-28 09:00:00
34,1730106300,68232.79,68318.25,68235.0,68317.01,16.47369217,2024-10-28 09:05:00
33,1730106600,68293.35,68379.57,68317.02,68316.73,10.16725115,2024-10-28 09:10:00
32,1730106900,68266.15,68318.75,68315.68,68266.17,4.5742443,2024-10-28 09:15:00
